"icd9pro","d9carotid","d9cArtery","d9pArtery","d9BariatricSurg","d9Renal","d9Transplant","d9Dialysis","d9Kidney_Transplant"
"1435",0,0,0,0,0,0,0,0
"1439",0,0,0,0,0,0,0,0
"1441",0,0,0,0,0,0,0,0
"1449",0,0,0,0,0,0,0,0
"1451",0,0,0,0,0,0,0,0
"1452",0,0,0,0,0,0,0,0
"1454",0,0,0,0,0,0,0,0
"1455",0,0,0,0,0,0,0,0
"1459",0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0
"1471",0,0,0,0,0,0,0,0
"1472",0,0,0,0,0,0,0,0
"1473",0,0,0,0,0,0,0,0
"1474",0,0,0,0,0,0,0,0
"1475",0,0,0,0,0,0,0,0
"1479",0,0,0,0,0,0,0,0
"149",0,0,0,0,0,0,0,0
"1500",0,0,0,0,0,0,0,0
"15000",0,0,0,0,0,0,0,0
"1510",0,0,0,0,0,0,0,0
"15100",0,0,0,0,0,0,0,0
"1511",0,0,0,0,0,0,0,0
"15120",0,0,0,0,0,0,0,0
"1513",0,0,0,0,0,0,0,0
"1519",0,0,0,0,0,0,0,0
"1521",0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0
"1534",0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0
"156",0,0,0,0,0,0,0,0
"15610",0,0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0,0
"15734",0,0,0,0,0,0,0,0
"1582",0,0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,0
"15999",0,0,0,0,0,0,0,0
"1601",0,0,0,0,0,0,0,0
"1602",0,0,0,0,0,0,0,0
"1609",0,0,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0
"1619",0,0,0,0,0,0,0,0
"1621",0,0,0,0,0,0,0,0
"1622",0,0,0,0,0,0,0,0
"1623",0,0,0,0,0,0,0,0
"1629",0,0,0,0,0,0,0,0
"1631",0,0,0,0,0,0,0,0
"1639",0,0,0,0,0,0,0,0
"1641",0,0,0,0,0,0,0,0
"1642",0,0,0,0,0,0,0,0
"1649",0,0,0,0,0,0,0,0
"1651",0,0,0,0,0,0,0,0
"1659",0,0,0,0,0,0,0,0
"1661",0,0,0,0,0,0,0,0
"1662",0,0,0,0,0,0,0,0
"1663",0,0,0,0,0,0,0,0
"1669",0,0,0,0,0,0,0,0
"1672",0,0,0,0,0,0,0,0
"1681",0,0,0,0,0,0,0,0
"1682",0,0,0,0,0,0,0,0
"1689",0,0,0,0,0,0,0,0
"1691",0,0,0,0,0,0,0,0
"1692",0,0,0,0,0,0,0,0
"1693",0,0,0,0,0,0,0,0
"1698",0,0,0,0,0,0,0,0
"1699",0,0,0,0,0,0,0,0
"1700",0,0,0,0,0,0,0,0
"1711",0,0,0,0,0,0,0,0
"1712",0,0,0,0,0,0,0,0
"1713",0,0,0,0,0,0,0,0
"1721",0,0,0,0,0,0,0,0
"1722",0,0,0,0,0,0,0,0
"1723",0,0,0,0,0,0,0,0
"1730",0,0,0,0,0,0,0,0
"1732",0,0,0,0,0,0,0,0
"1733",0,0,0,0,0,0,0,0
"1734",0,0,0,0,0,0,0,0
"1735",0,0,0,0,0,0,0,0
"1736",0,0,0,0,0,0,0,0
"1739",0,0,0,0,0,0,0,0
"1741",0,0,0,0,0,0,0,0
"1742",0,0,0,0,0,0,0,0
"1743",0,0,0,0,0,0,0,0
"1744",0,0,0,0,0,0,0,0
"1745",0,0,0,0,0,0,0,0
"1749",0,0,0,0,0,0,0,0
"1752",0,0,0,0,0,0,0,0
"1761",0,0,0,0,0,0,0,0
"1763",0,0,0,0,0,0,0,0
"1769",0,0,0,0,0,0,0,0
"1802",0,0,0,0,0,0,0,0
"1809",0,0,0,0,0,0,0,0
"1811",0,0,0,0,0,0,0,0
"1812",0,0,0,0,0,0,0,0
"1819",0,0,0,0,0,0,0,0
"1821",0,0,0,0,0,0,0,0
"1829",0,0,0,0,0,0,0,0
"1831",0,0,0,0,0,0,0,0
"1839",0,0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0,0
